SPX (S&P 500 INDEX),1290.59,+7.24,
Jan 24 2011 @ 14:03 ET,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
11 Jan 1400.00 (SPXW1128A1400-E),0.05,0.0,0.0,0.05,0,198,11 Jan 1400.00 (SPXW1128M1400-E),0.0,0.0,108.20,109.50,0,0,
11 Feb 200.00 (SPX1119B200-E),1055.80,0.0,1087.30,1091.10,0,21,11 Feb 200.00 (SPX1119N200-E),0.0,0.0,0.0,0.05,0,0,
11 Feb 300.00 (SPX1119B300-E),0.0,0.0,987.30,991.00,0,0,11 Feb 300.00 (SPX1119N300-E),0.0,0.0,0.0,0.05,0,0,
11 Feb 350.00 (SPX1119B350-E),0.0,0.0,937.30,941.20,0,0,11 Feb 350.00 (SPX1119N350-E),0.0,0.0,0.0,0.05,0,0,
11 Feb 400.00 (SPX1119B400-E),0.0,0.0,887.30,891.10,0,0,11 Feb 400.00 (SPX1119N400-E),0.0,0.0,0.0,0.05,0,0,
11 Feb 450.00 (SPX1119B450-E),0.0,0.0,837.30,841.20,0,0,11 Feb 450.00 (SPX1119N450-E),0.0,0.0,0.0,0.05,0,0,
11 Feb 500.00 (SPX1119B500-E),774.00,0.0,787.40,791.10,0,5000,11 Feb 500.00 (SPX1119N500-E),0.05,0.0,0.0,0.05,0,5000,
11 Feb 550.00 (SPX1119B550-E),0.0,0.0,737.40,741.10,0,0,11 Feb 550.00 (SPX1119N550-E),0.05,0.0,0.0,0.05,0,13,
11 Feb 600.00 (SPX1119B600-E),0.0,0.0,687.40,691.10,0,0,11 Feb 600.00 (SPX1119N600-E),0.10,0.0,0.0,0.05,0,147,
11 Feb 650.00 (SPX1119B650-E),0.0,0.0,637.40,641.20,0,0,11 Feb 650.00 (SPX1119N650-E),0.05,0.0,0.0,0.05,0,8,
11 Feb 675.00 (SPX1119B675-E),0.0,0.0,612.40,616.30,0,0,11 Feb 675.00 (SPX1119N675-E),0.0,0.0,0.0,0.05,0,0,
11 Feb 700.00 (SPX1119B700-E),0.0,0.0,587.40,591.30,0,0,11 Feb 700.00 (SPX1119N700-E),0.05,0.0,0.0,0.05,0,13355,
11 Feb 725.00 (SPX1119B725-E),0.0,0.0,562.40,566.30,0,0,11 Feb 725.00 (SPX1119N725-E),0.50,0.0,0.0,0.05,0,465,
11 Feb 750.00 (SPX1119B750-E),0.0,0.0,537.40,541.30,0,0,11 Feb 750.00 (SPX1119N750-E),0.10,0.0,0.0,0.05,0,21770,
11 Feb 775.00 (SPX1119B775-E),0.0,0.0,512.40,516.20,0,0,11 Feb 775.00 (SPX1119N775-E),0.05,0.0,0.0,0.05,0,1283,
11 Feb 780.00 (SPX1119B780-E),0.0,0.0,507.40,511.30,0,0,11 Feb 780.00 (SPX1119N780-E),0.0,0.0,0.0,0.05,0,0,
11 Feb 785.00 (SPX1119B785-E),0.0,0.0,502.40,506.20,0,0,11 Feb 785.00 (SPX1119N785-E),0.0,0.0,0.0,0.05,0,0,
11 Feb 790.00 (SPX1119B790-E),0.0,0.0,497.40,501.20,0,0,11 Feb 790.00 (SPX1119N790-E),0.0,0.0,0.0,0.05,0,0,
11 Feb 795.00 (SPX1119B795-E),0.0,0.0,492.40,496.20,0,0,11 Feb 795.00 (SPX1119N795-E),0.0,0.0,0.0,0.05,0,0,
11 Feb 800.00 (SPX1119B800-E),482.00,0.0,487.40,491.30,0,11,11 Feb 800.00 (SPX1119N800-E),0.05,0.0,0.0,0.05,0,19227,
11 Feb 805.00 (SPX1119B805-E),0.0,0.0,482.50,486.30,0,0,11 Feb 805.00 (SPX1119N805-E),0.10,0.0,0.0,0.20,0,623,
11 Feb 810.00 (SPX1119B810-E),0.0,0.0,477.50,481.20,0,0,11 Feb 810.00 (SPX1119N810-E),0.10,0.0,0.0,0.20,0,616,
11 Feb 815.00 (SPX1119B815-E),0.0,0.0,472.50,476.20,0,0,11 Feb 815.00 (SPX1119N815-E),0.05,0.0,0.0,0.10,0,1066,
11 Feb 820.00 (SPX1119B820-E),0.0,0.0,467.50,471.20,0,0,11 Feb 820.00 (SPX1119N820-E),0.05,0.0,0.0,0.10,0,1057,
11 Feb 825.00 (SPX1119B825-E),0.0,0.0,462.50,466.20,0,0,11 Feb 825.00 (SPX1119N825-E),0.05,0.0,0.05,0.10,10,6086,
11 Feb 830.00 (SPX1119B830-E),0.0,0.0,457.50,461.30,0,0,11 Feb 830.00 (SPX1119N830-E),0.05,0.0,0.0,0.10,0,4020,
11 Feb 835.00 (SPX1119B835-E),0.0,0.0,452.50,456.30,0,0,11 Feb 835.00 (SPX1119N835-E),0.10,0.0,0.0,0.10,0,3965,
11 Feb 840.00 (SPX1119B840-E),0.0,0.0,447.50,451.30,0,0,11 Feb 840.00 (SPX1119N840-E),0.10,0.0,0.0,0.10,0,5080,
11 Feb 845.00 (SPX1119B845-E),0.0,0.0,442.50,446.30,0,0,11 Feb 845.00 (SPX1119N845-E),0.10,0.0,0.0,0.10,0,5015,
11 Feb 850.00 (SPX1119B850-E),431.00,0.0,437.50,441.30,0,2,11 Feb 850.00 (SPX1119N850-E),0.10,0.0,0.05,0.10,13,11900,
11 Feb 855.00 (SPX1119B855-E),0.0,0.0,432.50,436.20,0,0,11 Feb 855.00 (SPX1119N855-E),0.15,0.0,0.05,0.15,0,4480,
11 Feb 860.00 (SPX1119B860-E),0.0,0.0,427.50,431.20,0,0,11 Feb 860.00 (SPX1119N860-E),0.15,0.0,0.05,0.15,0,4352,
11 Feb 865.00 (SPX1119B865-E),0.0,0.0,422.50,426.20,0,0,11 Feb 865.00 (SPX1119N865-E),0.15,0.0,0.05,0.15,0,4429,
11 Feb 870.00 (SPX1119B870-E),0.0,0.0,417.50,421.30,0,0,11 Feb 870.00 (SPX1119N870-E),0.10,0.0,0.05,0.15,0,4403,
11 Feb 875.00 (SPX1119B875-E),0.0,0.0,412.50,416.30,0,0,11 Feb 875.00 (SPX1119N875-E),0.10,0.0,0.05,0.15,10,7030,
11 Feb 880.00 (SPX1119B880-E),0.0,0.0,407.50,411.30,0,0,11 Feb 880.00 (SPX1119N880-E),0.10,0.0,0.05,0.25,0,4663,
11 Feb 885.00 (SPX1119B885-E),0.0,0.0,402.50,406.30,0,0,11 Feb 885.00 (SPX1119N885-E),0.15,0.0,0.05,0.25,200,4588,
11 Feb 890.00 (SPX1119B890-E),0.0,0.0,397.50,401.30,0,0,11 Feb 890.00 (SPX1119N890-E),0.15,0.0,0.05,0.30,0,6729,
11 Feb 895.00 (SPX1119B895-E),0.0,0.0,392.50,396.40,0,0,11 Feb 895.00 (SPX1119N895-E),0.15,0.0,0.05,0.30,0,4493,
11 Feb 900.00 (SPX1119B900-E),388.45,0.0,387.60,391.30,0,100,11 Feb 900.00 (SPX1119N900-E),0.15,-0.05,0.05,0.25,1,19436,
11 Feb 905.00 (SPX1119B905-E),0.0,0.0,382.60,386.40,0,0,11 Feb 905.00 (SPX1119N905-E),0.20,0.0,0.05,1.00,0,4103,
11 Feb 910.00 (SPX1119B910-E),0.0,0.0,377.70,381.40,0,0,11 Feb 910.00 (SPX1119N910-E),0.20,0.0,0.05,1.00,0,4345,
11 Feb 915.00 (SPX1119B915-E),0.0,0.0,372.70,376.40,0,0,11 Feb 915.00 (SPX1119N915-E),0.20,0.0,0.10,1.00,0,4194,
11 Feb 920.00 (SPX1119B920-E),335.10,0.0,367.70,371.50,0,30,11 Feb 920.00 (SPX1119N920-E),0.20,0.0,0.10,1.00,0,4003,
11 Feb 925.00 (SPX1119B925-E),0.0,0.0,362.70,366.50,0,0,11 Feb 925.00 (SPX1119N925-E),0.20,-0.05,0.10,0.25,1641,10272,
11 Feb 930.00 (SPX1119B930-E),0.0,0.0,357.70,361.60,0,0,11 Feb 930.00 (SPX1119N930-E),0.20,0.0,0.05,1.00,0,3911,
11 Feb 935.00 (SPX1119B935-E),0.0,0.0,352.70,356.50,0,0,11 Feb 935.00 (SPX1119N935-E),0.25,0.0,0.05,1.00,0,3861,
11 Feb 940.00 (SPX1119B940-E),0.0,0.0,347.70,351.50,0,0,11 Feb 940.00 (SPX1119N940-E),0.25,0.0,0.05,1.00,0,4537,
11 Feb 945.00 (SPX1119B945-E),317.30,0.0,342.70,346.60,0,30,11 Feb 945.00 (SPX1119N945-E),0.25,0.0,0.15,0.35,2,4493,
11 Feb 950.00 (SPX1119B950-E),327.00,0.0,337.80,341.60,0,87,11 Feb 950.00 (SPX1119N950-E),0.25,-0.10,0.25,0.30,630,24588,
11 Feb 955.00 (SPX1119B955-E),0.0,0.0,332.80,336.50,0,0,11 Feb 955.00 (SPX1119N955-E),0.30,0.0,0.20,1.00,0,4745,
11 Feb 960.00 (SPX1119B960-E),0.0,0.0,327.80,331.50,0,0,11 Feb 960.00 (SPX1119N960-E),0.30,-0.05,0.25,0.35,50,3180,
11 Feb 965.00 (SPX1119B965-E),299.25,0.0,322.80,326.60,0,60,11 Feb 965.00 (SPX1119N965-E),0.35,0.0,0.25,1.00,0,4579,
11 Feb 970.00 (SPX1119B970-E),0.0,0.0,317.80,321.50,0,0,11 Feb 970.00 (SPX1119N970-E),0.30,0.0,0.25,1.00,0,4648,
11 Feb 975.00 (SPX1119B975-E),313.90,-0.50,312.80,316.60,40,4,11 Feb 975.00 (SPX1119N975-E),0.30,-0.15,0.30,0.40,875,17791,
11 Feb 980.00 (SPX1119B980-E),298.65,0.0,307.80,311.60,0,21030,11 Feb 980.00 (SPX1119N980-E),0.30,0.0,0.30,1.00,0,5045,
11 Feb 985.00 (SPX1119B985-E),0.0,0.0,302.80,306.70,0,0,11 Feb 985.00 (SPX1119N985-E),0.35,0.0,0.30,1.00,0,4932,
11 Feb 990.00 (SPX1119B990-E),285.70,0.0,297.90,301.60,0,9,11 Feb 990.00 (SPX1119N990-E),0.20,0.0,0.20,1.00,0,4762,
11 Feb 995.00 (SPX1119B995-E),0.0,0.0,292.90,296.70,0,0,11 Feb 995.00 (SPX1119N995-E),0.40,0.0,0.25,0.50,0,4721,
11 Feb 1000.00 (SPX1119B1000-E),288.20,-0.65,287.90,291.60,106,149,11 Feb 1000.00 (SPX1119N1000-E),0.45,-0.10,0.40,0.50,654,36734,
11 Feb 1005.00 (SPX1119B1005-E),0.0,0.0,282.90,286.80,0,0,11 Feb 1005.00 (SPX1119N1005-E),0.45,0.0,0.15,1.00,0,4376,
11 Feb 1010.00 (SPX1119B1010-E),261.80,0.0,277.90,281.80,0,4,11 Feb 1010.00 (SPX1119N1010-E),0.45,0.0,0.15,1.00,0,5009,
11 Feb 1015.00 (SPX1119B1015-E),0.0,0.0,272.90,276.80,0,0,11 Feb 1015.00 (SPX1119N1015-E),0.50,0.0,0.10,1.00,0,4183,
11 Feb 1020.00 (SPX1119B1020-E),264.35,0.0,268.00,271.70,0,55,11 Feb 1020.00 (SPX1119N1020-E),0.75,0.0,0.10,1.00,0,4814,
11 Feb 1025.00 (SPX1119B1025-E),248.00,0.0,263.00,266.80,0,15,11 Feb 1025.00 (SPX1119N1025-E),0.60,-0.20,0.10,0.65,1625,22671,
11 Feb 1030.00 (SPX1119B1030-E),250.00,0.0,258.00,261.90,0,16100,11 Feb 1030.00 (SPX1119N1030-E),0.55,0.0,0.10,1.00,0,5532,
11 Feb 1035.00 (SPX1119B1035-E),0.0,0.0,253.10,256.90,0,0,11 Feb 1035.00 (SPX1119N1035-E),0.60,0.0,0.20,1.00,0,4145,
11 Feb 1040.00 (SPX1119B1040-E),236.00,0.0,248.10,251.80,0,8,11 Feb 1040.00 (SPX1119N1040-E),0.60,0.0,0.60,1.05,0,8114,
11 Feb 1045.00 (SPX1119B1045-E),218.30,0.0,243.10,247.00,0,30,11 Feb 1045.00 (SPX1119N1045-E),0.65,0.0,0.20,1.10,0,4095,
11 Feb 1050.00 (SPX1119B1050-E),234.50,+6.05,238.20,241.90,100,1075,11 Feb 1050.00 (SPX1119N1050-E),0.75,-0.30,0.70,0.85,4671,36228,
11 Feb 1055.00 (SPX1119B1055-E),0.0,0.0,233.20,237.00,0,0,11 Feb 1055.00 (SPX1119N1055-E),0.65,0.0,0.35,1.20,0,3007,
11 Feb 1060.00 (SPX1119B1060-E),217.00,0.0,228.30,232.00,0,3,11 Feb 1060.00 (SPX1119N1060-E),1.00,0.0,0.40,1.05,0,18525,
11 Feb 1065.00 (SPX1119B1065-E),200.25,0.0,223.30,227.20,0,60,11 Feb 1065.00 (SPX1119N1065-E),0.85,0.0,0.35,1.30,0,3330,
11 Feb 1070.00 (SPX1119B1070-E),215.50,0.0,218.40,222.10,0,5,11 Feb 1070.00 (SPX1119N1070-E),0.75,0.0,0.35,1.30,0,4148,
11 Feb 1075.00 (SPX1119B1075-E),214.45,+11.15,213.40,217.20,40,8,11 Feb 1075.00 (SPX1119N1075-E),1.00,-0.40,0.80,1.00,502,28899,
11 Feb 1080.00 (SPX1119B1080-E),199.30,0.0,208.50,212.20,0,31,11 Feb 1080.00 (SPX1119N1080-E),1.15,-0.15,0.45,1.40,4000,16272,
11 Feb 1085.00 (SPX1119B1085-E),205.50,0.0,203.50,207.40,0,6,11 Feb 1085.00 (SPX1119N1085-E),0.75,-0.50,0.55,1.50,10,5082,
11 Feb 1090.00 (SPX1119B1090-E),0.0,0.0,198.60,202.40,0,0,11 Feb 1090.00 (SPX1119N1090-E),1.20,-0.15,0.55,1.50,1,6119,
11 Feb 1095.00 (SPX1119B1095-E),0.0,0.0,193.60,197.40,0,0,11 Feb 1095.00 (SPX1119N1095-E),1.40,0.0,0.60,1.55,0,9106,
11 Feb 1100.00 (SPX1119B1100-E),188.90,+1.80,188.70,192.50,106,10853,11 Feb 1100.00 (SPX1119N1100-E),1.30,-0.20,1.25,1.35,29388,85277,
11 Feb 1105.00 (SPX1119B1105-E),163.80,0.0,183.70,187.60,0,19,11 Feb 1105.00 (SPX1119N1105-E),1.40,-0.30,1.15,1.60,4,5392,
11 Feb 1110.00 (SPX1119B1110-E),163.15,0.0,178.80,182.50,0,48,11 Feb 1110.00 (SPX1119N1110-E),1.40,+0.40,1.25,1.75,16,8291,
11 Feb 1115.00 (SPX1119B1115-E),154.05,0.0,173.80,177.70,0,17,11 Feb 1115.00 (SPX1119N1115-E),1.50,-0.15,0.85,1.80,2,4341,
11 Feb 1120.00 (SPX1119B1120-E),165.15,0.0,168.90,172.60,0,85,11 Feb 1120.00 (SPX1119N1120-E),1.60,+0.20,0.85,1.60,1,6615,
11 Feb 1125.00 (SPX1119B1125-E),150.50,0.0,163.90,167.80,0,82,11 Feb 1125.00 (SPX1119N1125-E),1.65,-0.45,1.00,1.85,1138,60999,
11 Feb 1130.00 (SPX1119B1130-E),150.65,0.0,159.00,162.90,0,13,11 Feb 1130.00 (SPX1119N1130-E),1.70,-0.40,1.05,2.00,14,8269,
11 Feb 1135.00 (SPX1119B1135-E),148.10,0.0,154.10,157.90,0,24,11 Feb 1135.00 (SPX1119N1135-E),1.65,-0.55,1.10,2.05,65,13015,
11 Feb 1140.00 (SPX1119B1140-E),154.00,0.0,149.20,153.10,0,25,11 Feb 1140.00 (SPX1119N1140-E),1.75,-0.35,1.65,2.05,15,11020,
11 Feb 1145.00 (SPX1119B1145-E),0.0,0.0,144.30,148.10,0,0,11 Feb 1145.00 (SPX1119N1145-E),2.00,-1.00,1.35,2.25,2,3354,
11 Feb 1150.00 (SPX1119B1150-E),137.60,0.0,139.40,143.30,0,638,11 Feb 1150.00 (SPX1119N1150-E),2.05,-0.95,2.00,2.20,9390,76683,
11 Feb 1155.00 (SPX1119B1155-E),129.20,0.0,134.50,138.40,0,36,11 Feb 1155.00 (SPX1119N1155-E),2.30,-0.15,1.50,2.45,1,4226,
11 Feb 1160.00 (SPX1119B1160-E),131.75,0.0,129.60,133.40,0,26,11 Feb 1160.00 (SPX1119N1160-E),2.25,-0.90,2.15,2.55,142,12008,
11 Feb 1165.00 (SPX1119B1165-E),0.0,0.0,124.80,128.50,0,0,11 Feb 1165.00 (SPX1119N1165-E),2.40,-0.75,1.75,2.70,35,4424,
11 Feb 1170.00 (SPX1119B1170-E),124.00,0.0,119.90,123.70,0,56,11 Feb 1170.00 (SPX1119N1170-E),2.80,-0.60,1.85,2.80,118,22082,
11 Feb 1175.00 (SPX1119B1175-E),115.50,0.0,115.00,118.90,0,15711,11 Feb 1175.00 (SPX1119N1175-E),2.65,-1.05,2.50,2.80,7999,57815,
11 Feb 1180.00 (SPX1119B1180-E),105.30,0.0,110.20,114.10,0,2260,11 Feb 1180.00 (SPX1119N1180-E),3.00,-0.50,2.75,3.60,1408,11412,
11 Feb 1185.00 (SPX1119B1185-E),97.50,0.0,105.40,109.20,0,49,11 Feb 1185.00 (SPX1119N1185-E),2.90,-0.75,2.10,3.60,71,5755,
11 Feb 1190.00 (SPX1119B1190-E),97.95,0.0,100.50,104.40,0,2756,11 Feb 1190.00 (SPX1119N1190-E),3.10,-1.30,2.20,3.70,173,20940,
11 Feb 1195.00 (SPX1119B1195-E),93.15,0.0,95.80,99.50,0,2,11 Feb 1195.00 (SPX1119N1195-E),3.30,-1.50,2.45,3.90,59,5278,
11 Feb 1200.00 (SPX1119B1200-E),91.60,+0.70,91.00,94.80,13,88528,11 Feb 1200.00 (SPX1119N1200-E),3.80,-1.40,3.50,3.90,7814,139212,
11 Feb 1205.00 (SPX1119B1205-E),80.70,0.0,86.30,90.10,0,24,11 Feb 1205.00 (SPX1119N1205-E),3.90,-1.15,2.95,4.50,125,18688,
11 Feb 1210.00 (SPX1119B1210-E),74.70,0.0,81.50,85.30,0,1155,11 Feb 1210.00 (SPX1119N1210-E),4.10,-1.90,3.30,4.80,703,18768,
11 Feb 1215.00 (SPX1119B1215-E),77.80,0.0,76.90,80.70,0,126,11 Feb 1215.00 (SPX1119N1215-E),4.50,-1.50,3.60,5.10,315,4367,
11 Feb 1220.00 (SPX1119B1220-E),71.20,0.0,72.20,76.00,0,399,11 Feb 1220.00 (SPX1119N1220-E),5.05,-1.60,4.00,5.50,1647,12938,
11 Feb 1225.00 (SPX1119B1225-E),69.35,+4.45,67.70,71.60,13,13721,11 Feb 1225.00 (SPX1119N1225-E),5.20,-2.40,4.40,5.90,2018,44078,
11 Feb 1230.00 (SPX1119B1230-E),60.50,-0.25,63.10,66.90,6,2769,11 Feb 1230.00 (SPX1119N1230-E),5.75,-2.20,4.80,6.30,662,28854,
11 Feb 1235.00 (SPX1119B1235-E),56.55,0.0,58.70,62.60,0,670,11 Feb 1235.00 (SPX1119N1235-E),6.25,-2.40,5.20,7.00,135,7088,
11 Feb 1240.00 (SPX1119B1240-E),51.40,-3.90,54.30,58.20,100,2783,11 Feb 1240.00 (SPX1119N1240-E),6.40,-3.40,6.40,7.60,217,36574,
11 Feb 1245.00 (SPX1119B1245-E),49.00,0.0,49.70,53.50,0,799,11 Feb 1245.00 (SPX1119N1245-E),7.70,-1.80,6.50,8.40,72,6324,
11 Feb 1250.00 (SPX1119B1250-E),46.80,+3.80,45.50,49.30,55,76991,11 Feb 1250.00 (SPX1119N1250-E),8.50,-2.10,8.10,9.10,5478,99344,
11 Feb 1255.00 (SPX1119B1255-E),42.95,+0.85,41.60,45.20,15,296,11 Feb 1255.00 (SPX1119N1255-E),9.60,-0.30,8.10,9.90,22,5574,
11 Feb 1260.00 (SPX1119B1260-E),38.35,+2.20,37.50,41.20,111,3953,11 Feb 1260.00 (SPX1119N1260-E),10.30,-3.70,10.00,10.90,2879,19476,
11 Feb 1265.00 (SPX1119B1265-E),34.80,+2.25,33.60,37.30,26,4576,11 Feb 1265.00 (SPX1119N1265-E),12.70,-2.35,10.20,13.10,308,7059,
11 Feb 1270.00 (SPX1119B1270-E),31.10,+2.90,29.70,33.50,71,3991,11 Feb 1270.00 (SPX1119N1270-E),13.15,-3.40,12.00,13.80,713,9093,
11 Feb 1275.00 (SPX1119B1275-E),27.30,+2.30,26.10,30.00,126,35126,11 Feb 1275.00 (SPX1119N1275-E),14.50,-4.20,13.20,15.00,1823,33342,
11 Feb 1280.00 (SPX1119B1280-E),23.60,+1.20,22.80,25.00,260,11268,11 Feb 1280.00 (SPX1119N1280-E),16.15,-3.80,15.20,16.90,175,13729,
11 Feb 1285.00 (SPX1119B1285-E),21.00,+2.50,19.90,23.00,97,15010,11 Feb 1285.00 (SPX1119N1285-E),18.10,-4.00,17.00,18.70,85,10302,
11 Feb 1290.00 (SPX1119B1290-E),17.65,+1.65,17.00,18.90,161,16298,11 Feb 1290.00 (SPX1119N1290-E),19.60,-5.55,18.90,20.70,1240,10428,
