SPX (S&P 500 INDEX),1290.59,+7.24,
Jan 24 2011 @ 14:03 ET,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
11 Feb 1295.00 (SPX1119B1295-E),15.20,+1.70,14.20,17.20,78,14029,11 Feb 1295.00 (SPX1119N1295-E),24.00,-2.90,19.80,22.90,24,1127,
11 Feb 1300.00 (SPX1119B1300-E),13.10,+1.30,12.50,13.50,1118,65271,11 Feb 1300.00 (SPX1119N1300-E),24.00,-6.20,23.50,25.60,496,8009,
11 Feb 1305.00 (SPX1119B1305-E),10.60,+1.30,9.90,11.80,40,7248,11 Feb 1305.00 (SPX1119N1305-E),27.80,-0.60,24.70,28.50,12,441,
11 Feb 1310.00 (SPX1119B1310-E),8.60,+0.40,7.90,9.00,2389,11118,11 Feb 1310.00 (SPX1119N1310-E),30.95,0.0,27.60,31.50,0,64,
11 Feb 1315.00 (SPX1119B1315-E),7.20,+0.75,6.20,8.00,353,6459,11 Feb 1315.00 (SPX1119N1315-E),42.95,0.0,30.80,34.70,0,46,
11 Feb 1320.00 (SPX1119B1320-E),5.25,+0.35,4.80,5.90,486,23172,11 Feb 1320.00 (SPX1119N1320-E),39.95,-6.20,34.10,38.00,1,12,
11 Feb 1325.00 (SPX1119B1325-E),4.20,+0.15,4.00,4.50,8192,41988,11 Feb 1325.00 (SPX1119N1325-E),40.00,-13.80,37.90,41.80,1,6340,
11 Feb 1330.00 (SPX1119B1330-E),3.30,+0.30,2.50,3.50,3422,14407,11 Feb 1330.00 (SPX1119N1330-E),47.85,-2.25,41.80,45.70,1,144,
11 Feb 1335.00 (SPX1119B1335-E),2.55,+0.35,2.20,3.00,200,8322,11 Feb 1335.00 (SPX1119N1335-E),55.50,0.0,46.10,49.90,5,7,
11 Feb 1340.00 (SPX1119B1340-E),1.90,-0.05,1.60,2.00,7047,14851,11 Feb 1340.00 (SPX1119N1340-E),56.70,0.0,50.50,54.30,0,18,
11 Feb 1345.00 (SPX1119B1345-E),1.50,0.0,1.00,1.75,1539,7589,11 Feb 1345.00 (SPX1119N1345-E),75.90,0.0,55.00,58.80,0,6,
11 Feb 1350.00 (SPX1119B1350-E),1.20,+0.05,1.05,1.20,1954,30734,11 Feb 1350.00 (SPX1119N1350-E),65.40,0.0,59.60,63.50,0,3103,
11 Feb 1355.00 (SPX1119B1355-E),0.80,-0.20,0.70,0.95,1780,4591,11 Feb 1355.00 (SPX1119N1355-E),68.40,0.0,64.40,68.20,2,0,
11 Feb 1360.00 (SPX1119B1360-E),0.60,-0.10,0.50,0.75,736,6965,11 Feb 1360.00 (SPX1119N1360-E),76.00,0.0,69.20,73.00,0,10,
11 Feb 1365.00 (SPX1119B1365-E),0.50,-0.05,0.30,0.60,58,5408,11 Feb 1365.00 (SPX1119N1365-E),72.25,0.0,74.10,77.90,0,13,
11 Feb 1370.00 (SPX1119B1370-E),0.45,-0.05,0.30,0.50,512,4014,11 Feb 1370.00 (SPX1119N1370-E),75.05,0.0,79.00,82.70,0,5,
11 Feb 1375.00 (SPX1119B1375-E),0.40,-0.05,0.30,0.45,21,27793,11 Feb 1375.00 (SPX1119N1375-E),90.25,-4.15,83.80,87.70,1,1205,
11 Feb 1380.00 (SPX1119B1380-E),0.30,-0.20,0.20,0.40,3042,4605,11 Feb 1380.00 (SPX1119N1380-E),95.10,0.0,88.90,92.60,0,4,
11 Feb 1385.00 (SPX1119B1385-E),0.30,-0.20,0.15,1.00,57,9392,11 Feb 1385.00 (SPX1119N1385-E),102.15,0.0,93.70,97.60,0,10,
11 Feb 1390.00 (SPX1119B1390-E),0.45,+0.15,0.15,0.45,19,3690,11 Feb 1390.00 (SPX1119N1390-E),107.15,0.0,98.80,102.60,0,10,
11 Feb 1395.00 (SPX1119B1395-E),0.40,0.0,0.15,0.40,0,2191,11 Feb 1395.00 (SPX1119N1395-E),121.35,0.0,103.70,107.50,0,20,
11 Feb 1400.00 (SPX1119B1400-E),0.20,0.0,0.15,0.25,22,35671,11 Feb 1400.00 (SPX1119N1400-E),125.45,0.0,108.70,112.50,0,20,
11 Feb 1410.00 (SPX1119B1410-E),0.15,-0.05,0.10,0.50,300,4525,11 Feb 1410.00 (SPX1119N1410-E),0.0,0.0,118.70,122.50,0,0,
11 Feb 1420.00 (SPX1119B1420-E),0.15,0.0,0.10,0.20,0,3495,11 Feb 1420.00 (SPX1119N1420-E),0.0,0.0,128.70,132.50,0,0,
11 Feb 1425.00 (SPX1119B1425-E),0.15,0.0,0.10,0.15,0,7938,11 Feb 1425.00 (SPX1119N1425-E),0.0,0.0,133.70,137.50,0,0,
11 Feb 1440.00 (SPX1119B1440-E),0.10,0.0,0.05,0.15,0,2501,11 Feb 1440.00 (SPX1119N1440-E),0.0,0.0,148.60,152.40,0,0,
11 Feb 1450.00 (SPX1119B1450-E),0.10,0.0,0.05,0.20,300,11871,11 Feb 1450.00 (SPX1119N1450-E),0.0,0.0,158.50,162.40,0,0,
11 Feb 1460.00 (SPX1119B1460-E),0.05,0.0,0.05,0.10,10,3648,11 Feb 1460.00 (SPX1119N1460-E),0.0,0.0,168.50,172.40,0,0,
11 Feb 1470.00 (SPX1119B1470-E),0.05,0.0,0.05,0.10,0,1642,11 Feb 1470.00 (SPX1119N1470-E),0.0,0.0,178.60,182.40,0,0,
11 Feb 1475.00 (SPX1119B1475-E),0.10,0.0,0.05,0.10,0,2894,11 Feb 1475.00 (SPX1119N1475-E),0.0,0.0,183.60,187.40,0,0,
11 Feb 1500.00 (SPX1119B1500-E),0.05,0.0,0.0,0.10,110,11146,11 Feb 1500.00 (SPX1119N1500-E),225.60,0.0,208.50,212.40,0,5000,
11 Feb 1550.00 (SPX1119B1550-E),0.05,0.0,0.0,0.05,0,395,11 Feb 1550.00 (SPX1119N1550-E),0.0,0.0,258.50,262.30,0,0,
11 Feb 1600.00 (SPX1119B1600-E),0.10,0.0,0.0,0.05,0,108,11 Feb 1600.00 (SPX1119N1600-E),0.0,0.0,308.50,312.30,0,0,
11 Feb 1650.00 (SPX1119B1650-E),0.0,0.0,0.0,0.05,0,0,11 Feb 1650.00 (SPX1119N1650-E),0.0,0.0,358.40,362.30,0,0,
11 Feb 1700.00 (SPX1119B1700-E),0.0,0.0,0.0,0.05,0,0,11 Feb 1700.00 (SPX1119N1700-E),0.0,0.0,408.40,412.30,0,0,
11 Feb 1750.00 (SPX1119B1750-E),0.05,0.0,0.0,0.05,0,36,11 Feb 1750.00 (SPX1119N1750-E),0.0,0.0,458.50,462.30,0,0,
11 Feb 1800.00 (SPX1119B1800-E),0.05,0.0,0.0,0.05,0,100,11 Feb 1800.00 (SPX1119N1800-E),0.0,0.0,508.50,512.20,0,0,
11 Feb 1900.00 (SPX1119B1900-E),0.0,0.0,0.0,0.05,0,0,11 Feb 1900.00 (SPX1119N1900-E),0.0,0.0,608.50,612.20,0,0,
11 Feb 2000.00 (SPX1119B2000-E),0.0,0.0,0.0,0.05,0,0,11 Feb 2000.00 (SPX1119N2000-E),743.00,0.0,708.40,712.20,0,21,
11 Mar 100.00 (SPX1119C100-E),1191.00,0.0,1185.20,1189.00,0,731,11 Mar 100.00 (SPX1119O100-E),0.05,0.0,0.0,0.05,0,775,
11 Mar 200.00 (SPX1119C200-E),1037.00,0.0,1085.30,1089.10,0,310,11 Mar 200.00 (SPX1119O200-E),0.05,0.0,0.0,0.05,0,12,
11 Mar 250.00 (SPX1119C250-E),986.05,0.0,1035.30,1039.20,0,555,11 Mar 250.00 (SPX1119O250-E),0.0,0.0,0.0,0.05,0,0,
11 Mar 300.00 (SPX1119C300-E),940.70,0.0,985.30,989.20,0,1252,11 Mar 300.00 (SPX1119O300-E),0.05,0.0,0.0,0.05,0,106,
11 Mar 325.00 (SPX1119C325-E),0.0,0.0,960.30,964.10,0,0,11 Mar 325.00 (SPX1119O325-E),0.20,0.0,0.0,0.05,0,26,
11 Mar 350.00 (SPX1119C350-E),841.60,0.0,935.40,939.10,0,3,11 Mar 350.00 (SPX1119O350-E),1.35,0.0,0.0,0.05,0,100,
11 Mar 400.00 (SPX1119C400-E),847.00,0.0,885.40,889.10,0,13200,11 Mar 400.00 (SPX1119O400-E),0.10,0.0,0.0,0.05,0,13995,
11 Mar 425.00 (SPX1119C425-E),0.0,0.0,860.40,864.20,0,0,11 Mar 425.00 (SPX1119O425-E),0.15,0.0,0.0,0.05,0,1187,
11 Mar 450.00 (SPX1119C450-E),785.00,0.0,835.40,839.30,0,500,11 Mar 450.00 (SPX1119O450-E),0.05,0.0,0.0,0.05,0,392,
11 Mar 475.00 (SPX1119C475-E),0.0,0.0,810.40,814.20,0,0,11 Mar 475.00 (SPX1119O475-E),0.05,0.0,0.0,0.05,0,95,
11 Mar 500.00 (SPX1119C500-E),781.10,0.0,785.50,789.30,0,25865,11 Mar 500.00 (SPX1119O500-E),0.05,0.0,0.0,0.05,0,27958,
11 Mar 525.00 (SPX1119C525-E),0.0,0.0,760.50,764.20,0,0,11 Mar 525.00 (SPX1119O525-E),0.25,0.0,0.0,0.05,0,257,
11 Mar 550.00 (SPX1119C550-E),0.0,0.0,735.50,739.20,0,0,11 Mar 550.00 (SPX1119O550-E),0.05,0.0,0.0,0.05,0,11086,
11 Mar 575.00 (SPX1119C575-E),0.0,0.0,710.50,714.20,0,0,11 Mar 575.00 (SPX1119O575-E),0.10,0.0,0.0,0.10,0,1593,
11 Mar 600.00 (SPX1119C600-E),635.85,0.0,685.50,689.40,0,317,11 Mar 600.00 (SPX1119O600-E),0.05,0.0,0.0,0.10,0,26088,
11 Mar 625.00 (SPX1119C625-E),0.0,0.0,660.50,664.30,0,0,11 Mar 625.00 (SPX1119O625-E),0.05,0.0,0.0,0.10,0,1012,
11 Mar 650.00 (SPX1119C650-E),587.00,0.0,635.50,639.30,0,55,11 Mar 650.00 (SPX1119O650-E),0.15,0.0,0.0,0.10,0,12699,
11 Mar 675.00 (SPX1119C675-E),0.0,0.0,610.60,614.40,0,0,11 Mar 675.00 (SPX1119O675-E),0.15,0.0,0.0,0.10,0,10317,
11 Mar 700.00 (SPX1119C700-E),352.00,0.0,585.60,589.40,0,2,11 Mar 700.00 (SPX1119O700-E),0.05,0.0,0.05,0.10,0,36989,
11 Mar 725.00 (SPX1119C725-E),0.0,0.0,560.60,564.40,0,0,11 Mar 725.00 (SPX1119O725-E),0.10,0.0,0.0,1.00,0,4119,
11 Mar 750.00 (SPX1119C750-E),0.0,0.0,535.70,539.40,0,0,11 Mar 750.00 (SPX1119O750-E),0.45,0.0,0.0,1.00,0,16697,
11 Mar 775.00 (SPX1119C775-E),0.0,0.0,510.80,514.70,0,0,11 Mar 775.00 (SPX1119O775-E),0.60,0.0,0.0,1.00,0,16558,
11 Mar 780.00 (SPX1119C780-E),0.0,0.0,505.80,509.70,0,0,11 Mar 780.00 (SPX1119O780-E),0.0,0.0,0.0,1.00,0,0,
11 Mar 790.00 (SPX1119C790-E),0.0,0.0,495.80,499.70,0,0,11 Mar 790.00 (SPX1119O790-E),0.0,0.0,0.0,1.00,0,0,
11 Mar 800.00 (SPX1119C800-E),462.05,0.0,485.90,489.60,0,107,11 Mar 800.00 (SPX1119O800-E),0.20,0.0,0.10,0.30,0,49939,
11 Mar 810.00 (SPX1119C810-E),0.0,0.0,475.90,479.70,0,0,11 Mar 810.00 (SPX1119O810-E),0.30,0.0,0.05,1.00,17,0,
11 Mar 820.00 (SPX1119C820-E),0.0,0.0,465.90,469.70,0,0,11 Mar 820.00 (SPX1119O820-E),0.25,0.0,0.05,0.40,0,1,
11 Mar 825.00 (SPX1119C825-E),0.0,0.0,460.90,464.70,0,0,11 Mar 825.00 (SPX1119O825-E),0.20,0.0,0.05,0.50,0,21659,
11 Mar 830.00 (SPX1119C830-E),0.0,0.0,455.90,459.80,0,0,11 Mar 830.00 (SPX1119O830-E),0.30,0.0,0.05,1.00,0,17,
11 Mar 840.00 (SPX1119C840-E),0.0,0.0,445.90,449.70,0,0,11 Mar 840.00 (SPX1119O840-E),0.20,0.0,0.05,1.00,0,1,
11 Mar 850.00 (SPX1119C850-E),432.00,0.0,436.00,439.80,0,1006,11 Mar 850.00 (SPX1119O850-E),0.30,0.0,0.10,0.60,0,46749,
11 Mar 855.00 (SPX1119C855-E),0.0,0.0,431.00,434.70,0,0,11 Mar 855.00 (SPX1119O855-E),0.35,0.0,0.05,1.00,0,8,
11 Mar 860.00 (SPX1119C860-E),0.0,0.0,426.00,429.90,0,0,11 Mar 860.00 (SPX1119O860-E),0.35,0.0,0.05,1.00,0,8,
11 Mar 865.00 (SPX1119C865-E),0.0,0.0,421.00,424.80,0,0,11 Mar 865.00 (SPX1119O865-E),0.35,0.0,0.05,1.00,0,8,
11 Mar 870.00 (SPX1119C870-E),0.0,0.0,416.00,419.90,0,0,11 Mar 870.00 (SPX1119O870-E),0.0,0.0,0.05,1.00,0,0,
11 Mar 875.00 (SPX1119C875-E),0.0,0.0,411.10,414.80,0,0,11 Mar 875.00 (SPX1119O875-E),0.35,-0.10,0.05,0.75,1196,16477,
11 Mar 880.00 (SPX1119C880-E),0.0,0.0,406.10,409.90,0,0,11 Mar 880.00 (SPX1119O880-E),0.0,0.0,0.05,1.00,0,0,
11 Mar 885.00 (SPX1119C885-E),0.0,0.0,401.10,404.90,0,0,11 Mar 885.00 (SPX1119O885-E),0.75,0.0,0.05,1.00,0,2226,
11 Mar 890.00 (SPX1119C890-E),0.0,0.0,396.10,400.00,0,0,11 Mar 890.00 (SPX1119O890-E),0.0,0.0,0.05,1.00,0,0,
11 Mar 895.00 (SPX1119C895-E),0.0,0.0,391.10,395.00,0,0,11 Mar 895.00 (SPX1119O895-E),0.0,0.0,0.05,1.00,0,0,
11 Mar 900.00 (SPX1119C900-E),359.00,0.0,386.20,390.00,0,16,11 Mar 900.00 (SPX1119O900-E),0.75,+0.10,0.50,0.90,75,40067,
11 Mar 905.00 (SPX1119C905-E),0.0,0.0,381.20,385.00,0,0,11 Mar 905.00 (SPX1119O905-E),0.0,0.0,0.05,1.00,0,0,
11 Mar 910.00 (SPX1119C910-E),0.0,0.0,376.20,380.00,0,0,11 Mar 910.00 (SPX1119O910-E),0.0,0.0,0.15,1.00,0,0,
11 Mar 915.00 (SPX1119C915-E),0.0,0.0,371.30,375.10,0,0,11 Mar 915.00 (SPX1119O915-E),0.0,0.0,0.20,1.05,0,0,
11 Mar 920.00 (SPX1119C920-E),0.0,0.0,366.30,370.00,0,0,11 Mar 920.00 (SPX1119O920-E),0.0,0.0,0.10,1.05,0,0,
11 Mar 925.00 (SPX1119C925-E),195.90,0.0,361.30,365.20,0,500,11 Mar 925.00 (SPX1119O925-E),0.85,0.0,0.15,1.10,0,35977,
11 Mar 930.00 (SPX1119C930-E),0.0,0.0,356.40,360.10,0,0,11 Mar 930.00 (SPX1119O930-E),0.80,+0.20,0.30,1.15,10,100,
11 Mar 935.00 (SPX1119C935-E),0.0,0.0,351.40,355.30,0,0,11 Mar 935.00 (SPX1119O935-E),0.0,0.0,0.20,1.15,0,0,
11 Mar 940.00 (SPX1119C940-E),0.0,0.0,346.40,350.30,0,0,11 Mar 940.00 (SPX1119O940-E),0.65,0.0,0.25,1.20,0,459,
11 Mar 945.00 (SPX1119C945-E),0.0,0.0,341.50,345.30,0,0,11 Mar 945.00 (SPX1119O945-E),0.0,0.0,0.35,1.25,0,0,
11 Mar 950.00 (SPX1119C950-E),342.00,0.0,336.50,340.40,0,1101,11 Mar 950.00 (SPX1119O950-E),1.00,0.0,0.40,1.00,700,73203,
11 Mar 955.00 (SPX1119C955-E),0.0,0.0,331.60,335.30,0,0,11 Mar 955.00 (SPX1119O955-E),1.00,0.0,0.45,1.00,0,111,
11 Mar 960.00 (SPX1119C960-E),0.0,0.0,326.60,330.50,0,0,11 Mar 960.00 (SPX1119O960-E),0.65,0.0,0.50,1.00,0,247,
11 Mar 965.00 (SPX1119C965-E),0.0,0.0,321.70,325.50,0,0,11 Mar 965.00 (SPX1119O965-E),0.0,0.0,0.55,1.10,0,0,
11 Mar 970.00 (SPX1119C970-E),0.0,0.0,316.70,320.60,0,0,11 Mar 970.00 (SPX1119O970-E),0.70,0.0,0.60,1.50,0,350,
11 Mar 975.00 (SPX1119C975-E),261.80,0.0,311.80,315.50,0,14,11 Mar 975.00 (SPX1119O975-E),1.20,0.0,0.65,1.55,0,22806,
11 Mar 980.00 (SPX1119C980-E),0.0,0.0,306.80,310.60,0,0,11 Mar 980.00 (SPX1119O980-E),1.20,+0.40,0.60,1.55,10,500,
11 Mar 985.00 (SPX1119C985-E),0.0,0.0,301.90,305.70,0,0,11 Mar 985.00 (SPX1119O985-E),1.00,0.0,0.70,1.60,0,4000,
11 Mar 990.00 (SPX1119C990-E),0.0,0.0,296.90,300.80,0,0,11 Mar 990.00 (SPX1119O990-E),1.85,0.0,0.75,1.65,0,203,
11 Mar 995.00 (SPX1119C995-E),0.0,0.0,292.00,295.80,0,0,11 Mar 995.00 (SPX1119O995-E),1.00,0.0,0.80,1.70,0,1196,
11 Mar 1000.00 (SPX1119C1000-E),272.00,0.0,287.00,290.80,0,3621,11 Mar 1000.00 (SPX1119O1000-E),1.40,+0.05,1.05,1.55,3750,89279,
11 Mar 1005.00 (SPX1119C1005-E),0.0,0.0,282.10,285.80,0,0,11 Mar 1005.00 (SPX1119O1005-E),1.65,0.0,0.90,1.80,0,67,
11 Mar 1010.00 (SPX1119C1010-E),0.0,0.0,277.10,280.90,0,0,11 Mar 1010.00 (SPX1119O1010-E),1.50,0.0,0.90,1.85,0,4581,
11 Mar 1015.00 (SPX1119C1015-E),0.0,0.0,272.20,275.90,0,0,11 Mar 1015.00 (SPX1119O1015-E),0.0,0.0,1.00,1.90,0,0,
11 Mar 1020.00 (SPX1119C1020-E),0.0,0.0,267.20,271.00,0,0,11 Mar 1020.00 (SPX1119O1020-E),2.10,0.0,1.00,1.95,0,363,
11 Mar 1025.00 (SPX1119C1025-E),220.05,0.0,262.30,266.20,0,1386,11 Mar 1025.00 (SPX1119O1025-E),1.75,-0.15,1.10,2.05,400,23519,
11 Mar 1030.00 (SPX1119C1030-E),0.0,0.0,257.40,261.30,0,0,11 Mar 1030.00 (SPX1119O1030-E),1.90,+0.20,1.20,2.15,3,1540,
11 Mar 1035.00 (SPX1119C1035-E),0.0,0.0,252.50,256.40,0,0,11 Mar 1035.00 (SPX1119O1035-E),1.75,0.0,1.30,2.25,0,200,
11 Mar 1040.00 (SPX1119C1040-E),0.0,0.0,247.60,251.50,0,0,11 Mar 1040.00 (SPX1119O1040-E),2.00,0.0,1.45,2.35,0,203,
11 Mar 1045.00 (SPX1119C1045-E),0.0,0.0,242.70,246.60,0,0,11 Mar 1045.00 (SPX1119O1045-E),2.00,0.0,1.55,2.45,0,200,
11 Mar 1050.00 (SPX1119C1050-E),196.55,0.0,237.80,241.70,0,10892,11 Mar 1050.00 (SPX1119O1050-E),2.50,0.0,2.00,2.55,4005,68327,
11 Mar 1055.00 (SPX1119C1055-E),0.0,0.0,232.90,236.70,0,0,11 Mar 1055.00 (SPX1119O1055-E),2.70,0.0,1.75,2.65,0,1769,
11 Mar 1060.00 (SPX1119C1060-E),0.0,0.0,228.00,231.90,0,0,11 Mar 1060.00 (SPX1119O1060-E),2.20,0.0,1.85,2.75,0,9979,
11 Mar 1065.00 (SPX1119C1065-E),0.0,0.0,223.10,227.00,0,0,11 Mar 1065.00 (SPX1119O1065-E),0.0,0.0,1.90,2.85,0,0,
11 Mar 1070.00 (SPX1119C1070-E),0.0,0.0,218.30,222.10,0,0,11 Mar 1070.00 (SPX1119O1070-E),2.75,-0.75,2.05,2.95,5,1429,
11 Mar 1075.00 (SPX1119C1075-E),161.00,0.0,213.40,217.20,0,10464,11 Mar 1075.00 (SPX1119O1075-E),3.00,0.0,2.05,3.60,0,49883,
11 Mar 1080.00 (SPX1119C1080-E),167.00,0.0,208.30,212.00,0,75,11 Mar 1080.00 (SPX1119O1080-E),2.95,-0.30,2.20,3.60,60,6557,
11 Mar 1085.00 (SPX1119C1085-E),0.0,0.0,203.60,207.40,0,0,11 Mar 1085.00 (SPX1119O1085-E),3.45,-0.05,2.10,3.60,30,1499,
11 Mar 1090.00 (SPX1119C1090-E),0.0,0.0,198.80,202.60,0,0,11 Mar 1090.00 (SPX1119O1090-E),3.60,0.0,2.30,3.70,0,6525,
11 Mar 1095.00 (SPX1119C1095-E),0.0,0.0,193.90,197.80,0,0,11 Mar 1095.00 (SPX1119O1095-E),3.85,-0.35,2.40,3.90,30,1,
11 Mar 1100.00 (SPX1119C1100-E),191.00,0.0,189.00,192.90,0,27577,11 Mar 1100.00 (SPX1119O1100-E),3.40,-0.20,3.30,4.00,1422,83604,
11 Mar 1105.00 (SPX1119C1105-E),0.0,0.0,184.20,188.10,0,0,11 Mar 1105.00 (SPX1119O1105-E),4.50,0.0,3.20,4.20,0,5,
11 Mar 1110.00 (SPX1119C1110-E),0.0,0.0,179.40,183.20,0,0,11 Mar 1110.00 (SPX1119O1110-E),4.30,-0.05,2.85,4.40,30,4988,
11 Mar 1115.00 (SPX1119C1115-E),0.0,0.0,174.50,178.30,0,0,11 Mar 1115.00 (SPX1119O1115-E),4.85,0.0,3.10,4.50,0,10,
11 Mar 1120.00 (SPX1119C1120-E),143.20,0.0,169.50,173.20,0,18,11 Mar 1120.00 (SPX1119O1120-E),4.85,+0.05,3.10,4.60,30,4512,
11 Mar 1125.00 (SPX1119C1125-E),159.50,0.0,164.90,168.80,0,27324,11 Mar 1125.00 (SPX1119O1125-E),4.30,-0.70,3.40,4.30,520,68417,
11 Mar 1130.00 (SPX1119C1130-E),152.40,0.0,160.10,164.00,0,85,11 Mar 1130.00 (SPX1119O1130-E),5.10,0.0,3.50,5.00,0,2340,
11 Mar 1135.00 (SPX1119C1135-E),145.15,0.0,155.10,158.80,0,43,11 Mar 1135.00 (SPX1119O1135-E),12.00,0.0,3.70,5.20,0,279,
11 Mar 1140.00 (SPX1119C1140-E),130.75,0.0,150.50,154.40,0,12,11 Mar 1140.00 (SPX1119O1140-E),5.30,-0.70,4.00,5.50,60,1086,
11 Mar 1145.00 (SPX1119C1145-E),126.20,0.0,145.80,149.50,0,38,11 Mar 1145.00 (SPX1119O1145-E),5.30,0.0,4.20,5.70,0,67,
11 Mar 1150.00 (SPX1119C1150-E),139.80,0.0,141.00,144.90,0,18808,11 Mar 1150.00 (SPX1119O1150-E),5.40,-1.60,5.10,5.80,2355,81874,
11 Mar 1155.00 (SPX1119C1155-E),133.40,0.0,136.10,139.90,0,21,11 Mar 1155.00 (SPX1119O1155-E),6.90,0.0,4.90,6.30,0,813,
11 Mar 1160.00 (SPX1119C1160-E),116.45,0.0,131.40,135.20,0,5,11 Mar 1160.00 (SPX1119O1160-E),6.45,-0.95,5.00,6.50,2,1854,
11 Mar 1165.00 (SPX1119C1165-E),0.0,0.0,126.90,130.80,0,0,11 Mar 1165.00 (SPX1119O1165-E),6.55,-2.45,5.20,7.10,3,1524,
11 Mar 1170.00 (SPX1119C1170-E),107.80,0.0,122.30,126.20,0,5,11 Mar 1170.00 (SPX1119O1170-E),6.30,-1.95,5.50,7.40,3,1163,
11 Mar 1175.00 (SPX1119C1175-E),114.50,0.0,117.60,121.50,0,14773,11 Mar 1175.00 (SPX1119O1175-E),7.00,-1.50,6.00,7.70,6704,51983,
11 Mar 1180.00 (SPX1119C1180-E),80.70,0.0,113.00,116.80,0,32,11 Mar 1180.00 (SPX1119O1180-E),9.00,-0.20,6.30,8.20,2,4014,
11 Mar 1185.00 (SPX1119C1185-E),0.0,0.0,108.50,112.40,0,0,11 Mar 1185.00 (SPX1119O1185-E),9.75,0.0,6.70,8.60,0,3342,
11 Mar 1190.00 (SPX1119C1190-E),94.00,0.0,103.90,107.80,0,4837,11 Mar 1190.00 (SPX1119O1190-E),8.70,0.0,7.20,9.10,7,15188,
11 Mar 1195.00 (SPX1119C1195-E),90.15,0.0,99.40,103.20,0,1,11 Mar 1195.00 (SPX1119O1195-E),11.05,0.0,7.70,9.50,0,133,
11 Mar 1200.00 (SPX1119C1200-E),93.00,+0.50,94.90,98.80,1,86721,11 Mar 1200.00 (SPX1119O1200-E),9.30,-1.60,9.20,10.00,1838,114316,
11 Mar 1205.00 (SPX1119C1205-E),83.75,0.0,90.50,94.40,0,1,11 Mar 1205.00 (SPX1119O1205-E),10.95,-0.05,8.70,10.60,10,256,
11 Mar 1210.00 (SPX1119C1210-E),0.0,0.0,86.10,90.00,0,0,11 Mar 1210.00 (SPX1119O1210-E),10.40,-2.10,9.40,11.30,5,5251,
11 Mar 1215.00 (SPX1119C1215-E),80.30,0.0,81.60,85.40,0,39,11 Mar 1215.00 (SPX1119O1215-E),14.00,0.0,10.00,11.90,0,1422,
11 Mar 1220.00 (SPX1119C1220-E),76.00,0.0,77.30,81.10,0,443,11 Mar 1220.00 (SPX1119O1220-E),12.20,-1.80,10.30,13.30,1,2846,
11 Mar 1225.00 (SPX1119C1225-E),75.15,+3.25,73.10,76.90,207,37872,11 Mar 1225.00 (SPX1119O1225-E),13.80,-1.90,11.10,14.10,4715,54889,
11 Mar 1230.00 (SPX1119C1230-E),65.70,0.0,68.90,72.80,0,13637,11 Mar 1230.00 (SPX1119O1230-E),14.20,-2.50,12.00,14.90,4,15812,
11 Mar 1235.00 (SPX1119C1235-E),58.60,0.0,64.80,68.60,0,23546,11 Mar 1235.00 (SPX1119O1235-E),17.30,+1.10,12.80,15.80,1,23594,
11 Mar 1240.00 (SPX1119C1240-E),61.60,+1.65,61.60,64.80,16,31571,11 Mar 1240.00 (SPX1119O1240-E),15.20,-3.80,13.80,16.80,2,38665,
11 Mar 1245.00 (SPX1119C1245-E),55.60,0.0,57.00,60.70,0,4688,11 Mar 1245.00 (SPX1119O1245-E),17.10,+1.10,14.70,17.70,260,4355,
11 Mar 1250.00 (SPX1119C1250-E),53.55,+2.30,53.00,56.90,11,167653,11 Mar 1250.00 (SPX1119O1250-E),18.20,-3.60,17.00,18.50,1035,176597,
11 Mar 1255.00 (SPX1119C1255-E),44.60,0.0,49.40,52.00,0,21690,11 Mar 1255.00 (SPX1119O1255-E),20.30,0.0,17.20,20.20,16,21757,
11 Mar 1260.00 (SPX1119C1260-E),46.85,+1.25,45.70,49.40,14,12731,11 Mar 1260.00 (SPX1119O1260-E),20.20,-3.50,18.50,21.50,850,48337,
11 Mar 1265.00 (SPX1119C1265-E),40.00,-2.60,42.00,45.90,125,20679,11 Mar 1265.00 (SPX1119O1265-E),23.10,-4.90,19.80,22.80,140,21196,
11 Mar 1270.00 (SPX1119C1270-E),39.45,+0.50,38.70,42.40,77,31279,11 Mar 1270.00 (SPX1119O1270-E),24.10,-2.50,21.10,24.80,1127,30589,
11 Mar 1275.00 (SPX1119C1275-E),36.80,+1.80,35.20,39.00,9782,62633,11 Mar 1275.00 (SPX1119O1275-E),25.00,-4.00,23.00,26.40,2805,34196,
11 Mar 1280.00 (SPX1119C1280-E),31.00,0.0,32.10,35.80,7685,27332,11 Mar 1280.00 (SPX1119O1280-E),26.95,-4.05,24.40,28.20,7735,28024,
11 Mar 1285.00 (SPX1119C1285-E),32.00,+3.90,29.10,32.80,9780,18041,11 Mar 1285.00 (SPX1119O1285-E),30.00,-4.00,26.30,30.10,10314,21128,
11 Mar 1290.00 (SPX1119C1290-E),27.35,+0.85,26.00,29.80,4293,13210,11 Mar 1290.00 (SPX1119O1290-E),30.00,-6.00,29.50,32.10,5030,13287,
11 Mar 1295.00 (SPX1119C1295-E),24.80,+0.50,23.30,27.00,4,2193,11 Mar 1295.00 (SPX1119O1295-E),40.00,0.0,30.70,34.50,0,2174,
