Spec,Last Sale,Net,Bid,Ask,Vol,Open Int,Type,Strike,dtExpiry,dtTrade,Mid,QuickDelta,IVBid,IVAsk,IR,IDIV,ATMVol,Fwd,T
11 Mar 1245.00 (SPX1119O1245-E),17.1,1.1,14.7,17.7,260,4355,P,1245.0,2011-03-19,2011-01-24,16.2,0.721626413358,0.162503199107,0.180107616547,0.00331095362305,0.0185067754503,0.14915649822,1287.69182039,0.147945205479
11 Mar 1250.00 (SPX1119O1250-E),18.2,-3.6,17.0,18.5,1035,176597,P,1250.0,2011-03-19,2011-01-24,17.75,0.697707536544,0.166595550332,0.175141612489,0.00331095362305,0.0185067754503,0.14915649822,1287.69182039,0.147945205479
11 Mar 1255.00 (SPX1119O1255-E),20.3,0.0,17.2,20.2,16,21757,P,1255.0,2011-03-19,2011-01-24,18.7,0.673008537876,0.158112646463,0.174781700535,0.00331095362305,0.0185067754503,0.14915649822,1287.69182039,0.147945205479
11 Mar 1260.00 (SPX1119O1260-E),20.2,-3.5,18.5,21.5,850,48337,P,1260.0,2011-03-19,2011-01-24,20.0,0.647630108414,0.155381372509,0.171698061067,0.00331095362305,0.0185067754503,0.14915649822,1287.69182039,0.147945205479
11 Mar 1265.00 (SPX1119O1265-E),23.1,-4.9,19.8,22.8,140,21196,P,1265.0,2011-03-19,2011-01-24,21.3,0.621681005735,0.152151217001,0.16809820685,0.00331095362305,0.0185067754503,0.14915649822,1287.69182039,0.147945205479
11 Mar 1270.00 (SPX1119O1270-E),24.1,-2.5,21.1,24.8,1127,30589,P,1270.0,2011-03-19,2011-01-24,22.95,0.595276553482,0.148354917699,0.16770125312,0.00331095362305,0.0185067754503,0.14915649822,1287.69182039,0.147945205479
11 Mar 1275.00 (SPX1119O1275-E),25.0,-4.0,23.0,26.4,2805,34196,P,1275.0,2011-03-19,2011-01-24,24.7,0.568537018699,0.147083997098,0.164638272063,0.00331095362305,0.0185067754503,0.14915649822,1287.69182039,0.147945205479
11 Mar 1280.00 (SPX1119O1280-E),26.95,-4.05,24.4,28.2,7735,28024,P,1280.0,2011-03-19,2011-01-24,26.3,0.541585906324,0.142621045836,0.162020007322,0.00331095362305,0.0185067754503,0.14915649822,1287.69182039,0.147945205479
11 Mar 1285.00 (SPX1119O1285-E),30.0,-4.0,26.3,30.1,10314,21128,P,1285.0,2011-03-19,2011-01-24,28.2,0.514548211828,0.140032534104,0.159312483557,0.00331095362305,0.0185067754503,0.14915649822,1287.69182039,0.147945205479
11 Apr 1290.00 (SPX1116D1290-E),36.0,7.2,34.9,38.7,101,149,C,1290.0,2011-04-16,2011-01-24,36.8,0.48573890987,0.150468040811,0.166100653319,0.00338053580994,0.017479824571,0.159924109341,1286.5085089,0.224657534247
11 Apr 1300.00 (SPX1116D1300-E),30.4,0.3,29.4,33.2,1083,9467,C,1300.0,2011-04-16,2011-01-24,31.3,0.445267370346,0.146278508234,0.162000006524,0.00338053580994,0.017479824571,0.159924109341,1286.5085089,0.224657534247
11 Apr 1310.00 (SPX1116D1310-E),25.7,0.9,24.2,27.9,200,1009,C,1310.0,2011-04-16,2011-01-24,26.05,0.405661473165,0.14140765225,0.157004798244,0.00338053580994,0.017479824571,0.159924109341,1286.5085089,0.224657534247
11 Apr 1320.00 (SPX1116D1320-E),20.55,0.0,20.1,23.1,0,35,C,1320.0,2011-04-16,2011-01-24,21.6,0.367288663337,0.139179495608,0.152246364736,0.00338053580994,0.017479824571,0.159924109341,1286.5085089,0.224657534247
11 Apr 1325.00 (SPX1116D1325-E),18.6,0.3,18.1,21.1,100,6879,C,1325.0,2011-04-16,2011-01-24,19.6,0.34866765471,0.137512181501,0.150869089304,0.00338053580994,0.017479824571,0.159924109341,1286.5085089,0.224657534247
11 Apr 1330.00 (SPX1116D1330-E),16.0,0.0,16.1,19.1,0,39,C,1330.0,2011-04-16,2011-01-24,17.6,0.330472375036,0.135282520862,0.149003586869,0.00338053580994,0.017479824571,0.159924109341,1286.5085089,0.224657534247
11 Apr 1340.00 (SPX1116D1340-E),0.0,0.0,12.7,15.7,0,0,C,1340.0,2011-04-16,2011-01-24,14.2,0.295485482327,0.131867444713,0.146514613374,0.00338053580994,0.017479824571,0.159924109341,1286.5085089,0.224657534247
11 Apr 1350.00 (SPX1116D1350-E),10.1,-0.95,10.0,11.4,443,5330,C,1350.0,2011-04-16,2011-01-24,10.7,0.262546255875,0.129629658617,0.137150643358,0.00338053580994,0.017479824571,0.159924109341,1286.5085089,0.224657534247
11 Apr 1360.00 (SPX1116D1360-E),8.7,0.0,7.8,9.7,0,682,C,1360.0,2011-04-16,2011-01-24,8.75,0.231816776153,0.127861573853,0.139052170371,0.00338053580994,0.017479824571,0.159924109341,1286.5085089,0.224657534247
11 Apr 1370.00 (SPX1116D1370-E),0.0,0.0,5.6,7.4,0,0,C,1370.0,2011-04-16,2011-01-24,6.5,0.203403619607,0.123466311197,0.135604364301,0.00338053580994,0.017479824571,0.159924109341,1286.5085089,0.224657534247
11 Apr 1210.00 (SPX1116P1210-E),20.4,0.0,16.0,19.0,0,600,P,1210.0,2011-04-16,2011-01-24,17.5,0.790699431595,0.186992386672,0.202879418451,0.00338053580994,0.017479824571,0.159924109341,1286.5085089,0.224657534247
11 Apr 1220.00 (SPX1116P1220-E),22.6,-1.1,17.8,20.8,2,3022,P,1220.0,2011-04-16,2011-01-24,19.3,0.758120660129,0.182226029571,0.197319000045,0.00338053580994,0.017479824571,0.159924109341,1286.5085089,0.224657534247
11 Apr 1225.00 (SPX1116P1225-E),21.8,-0.45,18.9,21.8,730,8318,P,1225.0,2011-04-16,2011-01-24,20.35,0.74096169657,0.180426295464,0.194700463471,0.00338053580994,0.017479824571,0.159924109341,1286.5085089,0.224657534247
11 Apr 1230.00 (SPX1116P1230-E),24.0,0.0,19.8,22.8,0,320,P,1230.0,2011-04-16,2011-01-24,21.3,0.723267508658,0.177389222449,0.191797750508,0.00338053580994,0.017479824571,0.159924109341,1286.5085089,0.224657534247
11 Apr 1240.00 (SPX1116P1240-E),27.0,0.0,22.0,25.7,0,416,P,1240.0,2011-04-16,2011-01-24,23.85,0.68642915977,0.172370134328,0.189392894696,0.00338053580994,0.017479824571,0.159924109341,1286.5085089,0.224657534247
11 Apr 1250.00 (SPX1116P1250-E),28.0,0.8,24.7,28.4,2851,10645,P,1250.0,2011-04-16,2011-01-24,26.55,0.647949282239,0.168408449521,0.184803420242,0.00338053580994,0.017479824571,0.159924109341,1286.5085089,0.224657534247
11 Apr 1260.00 (SPX1116P1260-E),30.2,-2.55,27.4,31.2,101,2050,P,1260.0,2011-04-16,2011-01-24,29.3,0.608215155194,0.163112063798,0.1794623614,0.00338053580994,0.017479824571,0.159924109341,1286.5085089,0.224657534247
11 Apr 1270.00 (SPX1116P1270-E),35.0,0.0,30.7,34.4,0,160,P,1270.0,2011-04-16,2011-01-24,32.55,0.567644903743,0.158970469194,0.174522949845,0.00338053580994,0.017479824571,0.159924109341,1286.5085089,0.224657534247
11 Apr 1275.00 (SPX1116P1275-E),35.25,-2.75,32.5,36.4,833,8169,P,1275.0,2011-04-16,2011-01-24,34.45,0.547181916701,0.156952270054,0.173177472035,0.00338053580994,0.017479824571,0.159924109341,1286.5085089,0.224657534247
11 Apr 1280.00 (SPX1116P1280-E),40.0,-0.8,34.4,38.2,118,1009,P,1280.0,2011-04-16,2011-01-24,36.3,0.526673585025,0.154948264452,0.170666428871,0.00338053580994,0.017479824571,0.159924109341,1286.5085089,0.224657534247
