PBid,PAsk,Type,Strike,dtExpiry,dtTrade,Spot,IVBid,IVAsk,IVMid,QuickDelta,iRate,iDiv,ATMVol,Fwd,TTM,CP
18.1,21.1,C,1325.0,2011-03-16,2011-01-24,1290.59,0.17436648383962167,0.17436648383962167,0.17436648383962167,0.34488634813358776,0.005435371302251396,0.028104815976943084,0.19758101031331488,1286.5085088981216,0.13972602739726028,1
16.1,19.1,C,1330.0,2011-03-16,2011-01-24,1290.59,0.17153925732409628,0.17153925732409628,0.17153925732409628,0.32629702092179447,0.005435371302251396,0.028104815976943084,0.19758101031331488,1286.5085088981216,0.13972602739726028,1
12.7,15.7,C,1340.0,2011-03-16,2011-01-24,1290.59,0.16720891499539892,0.16720891499539892,0.16720891499539892,0.2906165152372202,0.005435371302251396,0.028104815976943084,0.19758101031331488,1286.5085088981216,0.13972602739726028,1
10.0,11.4,C,1350.0,2011-03-16,2011-01-24,1290.59,0.16437138533923767,0.16437138533923767,0.16437138533923767,0.2571188050853771,0.005435371302251396,0.028104815976943084,0.19758101031331488,1286.5085088981216,0.13972602739726028,1
7.8,9.7,C,1360.0,2011-03-16,2011-01-24,1290.59,0.16212944051587294,0.16212944051587294,0.16212944051587294,0.22597151870041204,0.005435371302251396,0.028104815976943084,0.19758101031331488,1286.5085088981216,0.13972602739726028,1
16.0,19.0,P,1210.0,2011-03-16,2011-01-24,1290.59,0.2371077573843166,0.25725263356684613,0.24718019547558137,0.7967742362475135,0.005435371302251396,0.028104815976943084,0.19758101031331488,1286.5085088981216,0.13972602739726028,-1
17.8,20.8,P,1220.0,2011-03-16,2011-01-24,1290.59,0.23106398061276578,0.250201981068653,0.2406329808407094,0.763841430940981,0.005435371302251396,0.028104815976943084,0.19758101031331488,1286.5085088981216,0.13972602739726028,-1
18.9,21.8,P,1225.0,2011-03-16,2011-01-24,1290.59,0.22878190418398434,0.24688165693233718,0.23783178055816076,0.7464422912857612,0.005435371302251396,0.028104815976943084,0.19758101031331488,1286.5085088981216,0.13972602739726028,-1
19.8,22.8,P,1230.0,2011-03-16,2011-01-24,1290.59,0.22493087268278267,0.2432009949910559,0.2340659338369193,0.7284670930414374,0.005435371302251396,0.028104815976943084,0.19758101031331488,1286.5085088981216,0.13972602739726028,-1
22.0,25.7,P,1240.0,2011-03-16,2011-01-24,1290.59,0.21856663106967986,0.24015161967323015,0.229359125371455,0.6909510255773424,0.005435371302251396,0.028104815976943084,0.19758101031331488,1286.5085088981216,0.13972602739726028,-1
24.7,28.4,P,1250.0,2011-03-16,2011-01-24,1290.59,0.2135431848393778,0.23433213143234413,0.22393765813586097,0.6516551457599936,0.005435371302251396,0.028104815976943084,0.19758101031331488,1286.5085088981216,0.13972602739726028,-1
27.4,31.2,P,1260.0,2011-03-16,2011-01-24,1290.59,0.20682732777454363,0.2275596285171017,0.21719347814582268,0.6109916268278983,0.005435371302251396,0.028104815976943084,0.19758101031331488,1286.5085088981216,0.13972602739726028,-1
30.7,34.4,P,1270.0,2011-03-16,2011-01-24,1290.59,0.20157575456263205,0.2212964173908712,0.21143608597675162,0.5694087080153312,0.005435371302251396,0.028104815976943084,0.19758101031331488,1286.5085088981216,0.13972602739726028,-1
32.5,36.4,P,1275.0,2011-03-16,2011-01-24,1290.59,0.19901666282390432,0.21959034137442562,0.20930350209916498,0.5484185716564783,0.005435371302251396,0.028104815976943084,0.19758101031331488,1286.5085088981216,0.13972602739726028,-1
34.4,38.2,P,1280.0,2011-03-16,2011-01-24,1290.59,0.1964755685981703,0.2164063196939878,0.20644094414607905,0.5273750349790892,0.005435371302251396,0.028104815976943084,0.19758101031331488,1286.5085088981216,0.13972602739726028,-1
38.5,42.2,C,1300.0,2011-04-21,2011-01-24,1290.59,0.18281587427681714,0.18281587427681714,0.18281587427681714,0.4485116261185796,0.005289771179274968,0.02593634472300458,0.19285844952554648,1284.2543018757258,0.23835616438356164,1
26.3,29.9,C,1325.0,2011-04-21,2011-01-24,1290.59,0.1721145950378939,0.1721145950378939,0.1721145950378939,0.3700482910127573,0.005289771179274968,0.02593634472300458,0.19285844952554648,1284.2543018757258,0.23835616438356164,1
17.1,20.1,C,1350.0,2011-04-21,2011-01-24,1290.59,0.16408418064420424,0.16408418064420424,0.16408418064420424,0.29797044882367785,0.005289771179274968,0.02593634472300458,0.19285844952554648,1284.2543018757258,0.23835616438356164,1
10.2,13.1,C,1375.0,2011-04-21,2011-01-24,1290.59,0.15592322724640245,0.15592322724640245,0.15592322724640245,0.23418762884138533,0.005289771179274968,0.02593634472300458,0.19285844952554648,1284.2543018757258,0.23835616438356164,1
22.6,26.2,P,1200.0,2011-04-21,2011-01-24,1290.59,0.22651249264200904,0.2442690000744499,0.23539074635822949,0.764445918405406,0.005289771179274968,0.02593634472300458,0.19285844952554648,1284.2543018757258,0.23835616438356164,-1
28.1,31.8,P,1225.0,2011-04-21,2011-01-24,1290.59,0.21510765021234893,0.2317808168796172,0.22344423354598308,0.6920566474335634,0.005289771179274968,0.02593634472300458,0.19285844952554648,1284.2543018757258,0.23835616438356164,-1
34.9,38.7,P,1250.0,2011-04-21,2011-01-24,1290.59,0.20359243588640974,0.2195668193493875,0.2115796276178986,0.6129913153220402,0.005289771179274968,0.02593634472300458,0.19285844952554648,1284.2543018757258,0.23835616438356164,-1
43.5,47.2,P,1275.0,2011-04-21,2011-01-24,1290.59,0.19283383603048565,0.20774203753968018,0.20028793678508292,0.5306121231752775,0.005289771179274968,0.02593634472300458,0.19285844952554648,1284.2543018757258,0.23835616438356164,-1
44.8,46.9,C,1300.0,2011-05-18,2011-01-24,1290.59,0.1846505069368579,0.1846505069368579,0.1846505069368579,0.45064171090832633,0.004818019679906448,0.0248187747173334,0.19491180404109026,1282.55305675057,0.31232876712328766,1
32.6,36.3,C,1325.0,2011-05-18,2011-01-24,1290.59,0.17585070417858245,0.17585070417858245,0.17585070417858245,0.3825051334073728,0.004818019679906448,0.0248187747173334,0.19491180404109026,1282.55305675057,0.31232876712328766,1
22.6,26.4,C,1350.0,2011-05-18,2011-01-24,1290.59,0.16765921488771643,0.16765921488771643,0.16765921488771643,0.31899643178035164,0.004818019679906448,0.0248187747173334,0.19491180404109026,1282.55305675057,0.31232876712328766,1
17.9,20.9,C,1365.0,2011-05-18,2011-01-24,1290.59,0.16403658425839884,0.16403658425839884,0.16403658425839884,0.28367875957322664,0.004818019679906448,0.0248187747173334,0.19491180404109026,1282.55305675057,0.31232876712328766,1
14.9,17.9,C,1375.0,2011-05-18,2011-01-24,1290.59,0.16048037696683592,0.16048037696683592,0.16048037696683592,0.26142539888247207,0.004818019679906448,0.0248187747173334,0.19491180404109026,1282.55305675057,0.31232876712328766,1
